arabic_instruction,instruction
ما هي معدلات الإضافة الشهرية إلى سلة التسوق وتحويل الشراء، المحسوبة كنسبة مئوية من مشاهدات الصفحة على تفاصيل المنتج، من يناير إلى مارس 2017 ؟,"What were the monthly add-to-cart and purchase conversion rates, calculated as a percentage of pageviews on product details, from January to March 2017?"
هل يمكنك تقديم قائمة بهويات الزوار لأولئك الذين أجروا معاملتهم الأولى على جهاز محمول في يوم مختلف عن زيارتهم الأولى ؟,Can you provide a list of visitor IDs for those who made their first transaction on a mobile device on a different day than their first visit?
يحسب النسبة المئوية للمستخدمين الجدد الذين، بين 1 أغسطس 2016 و 30 أبريل 2017، بقوا على الموقع لأكثر من 5 دقائق خلال زيارتهم الأولية وأجروا عملية شراء في زيارة لاحقة في أي وقت لاحق، بالنسبة إلى العدد الإجمالي للمستخدمين الجدد في نفس الفترة.,"Calculates the percentage of new users who, between August 1, 2016, and April 30, 2017, both stayed on the site for more than 5 minutes during their initial visit and made a purchase on a subsequent visit at any later time, relative to the total number of new users in the same period."
احصل على عدد منشورات براءات الاختراع ومتوسط عدد المخترعين لكل براءة اختراع في كاليفورنيا كل خمس سنوات من عام 1960 إلى عام 2020، بناءً على وقت تقديم براءات الاختراع. ركز فقط على براءات الاختراع مع تفاصيل المخترع.,"Get the number of patent publications and the average number of inventors per patent in CA every five years from 1960 to 2020, based on when the patents were filed. Focus only on patents with inventor details."
"بالنسبة للمكلف الذي كان الأكثر نشاطًا في فئة براءات الاختراع ""A61""، أود أن أعرف قانون الولايات القضائية الخمس لبراءات الاختراع حيث قدموا أكبر عدد من براءات الاختراع خلال عامهم الأكثر ازدحامًا، مفصولة بفواصل.","For the assignee who has been the most active in the patent category 'A61', I'd like to know the five patent jurisdictions code where they filed the most patents during their busiest year, separated by commas."
"في أي عام قدم المتنازل له أكبر عدد من الطلبات في فئة براءات الاختراع ""A61 ""؟",In which year did the assignee with the most applications in the patent category 'A61' file the most?
بالنسبة لفئة براءات الاختراع A01B3، أريد تحليل معلومات أعلى 3 معينين بناءً على العدد الإجمالي للطلبات. يرجى تقديم المعلومات الخمس التالية: اسم هذا المكلف، والعدد الإجمالي للطلبات، والسنة التي تحتوي على أكبر عدد من الطلبات، وعدد الطلبات في تلك السنة، ورمز البلد الذي يحتوي على أكبر عدد من الطلبات خلال تلك السنة.,"For patent class A01B3, I want to analyze the information of the top 3 assignees based on the total number of applications. Please provide the following five pieces of information: the name of this assignee,  total number of applications, the year with the most applications, the number of applications in that year, and the country code with the most applications during that year."
"كم عدد المنشورات الأمريكية المتعلقة بإنترنت الأشياء (حيث يتضمن الملخص عبارة ""إنترنت الأشياء "") التي تم إيداعها كل شهر من عام 2008 إلى عام 2022، بما في ذلك الأشهر التي لم يتم إيداعها ؟","How many U.S. publications related to IoT (where the abstract includes the phrase 'internet of things') were filed each month from 2008 to 2022, including months with no filings?"
هل يمكنك العثور على عدد براءات الاختراع ذات المنفعة الممنوحة في عام 2010 والتي تحتوي على اقتباس آجل واحد بالضبط خلال السنوات العشر التالية لتاريخ تقديم الطلب ؟,Can you find how many utility patents granted in 2010 have exactly one forward citation within the ten years following their application date?
بالنسبة لبراءات الاختراع الممنوحة بين عامي 2010 و 2018، قدم رقم نشر كل براءة اختراع وعدد الاقتباسات المتخلفة التي تلقتها في فئة SEA.,"For patents granted between 2010 and 2018, provide the publication number of each patent and the number of backward citations it has received in the SEA category."
"كم عدد براءات الاختراع الأمريكية B2 الممنوحة بين عامي 2008 و 2018 التي تحتوي على مطالبات لا تتضمن كلمة ""مطالبة ""؟",How many US B2 patents granted between 2008 and 2018 contain claims that do not include the word 'claim'?
من بين براءات الاختراع الممنوحة بين عامي 2010 و 2023 في الصين، كم منها ينتمي إلى عائلات لديها ما مجموعه أكثر من طلب واحد متميز ؟,"Among patents granted between 2010 and 2023 in CN, how many of them belong to families that have a total of over one distinct applications?"
ما هو رمز التصنيف الدولي للبراءات الأكثر شيوعًا المكون من 4 أرقام بين براءات الاختراع الأمريكية للمرافق B2 الممنوحة من يونيو إلى أغسطس في عام 2022 ؟,What is the most common 4-digit IPC code among US B2 utility patents granted from June to August in 2022?
بالنسبة لبراءات اختراع المرافق في الولايات المتحدة بموجب تصنيف B2 الممنوح بين يونيو وسبتمبر من عام 2022، حدد رمز التصنيف الدولي للبراءات الأكثر شيوعًا المكون من 4 أرقام لكل براءة اختراع. ثم ضع قائمة بأرقام النشر ورموز براءات الاختراع IPC4 حيث يظهر هذا الرمز 10 مرات أو أكثر.,"For United States utility patents under the B2 classification granted between June and September of 2022, identify the most frequent 4-digit IPC code for each patent. Then, list the publication numbers and IPC4 codes of patents where this code appears 10 or more times."
بالنسبة لبراءات اختراع المرافق في الولايات المتحدة بموجب تصنيف B2 الممنوح بين عامي 2010 و 2014، ابحث عن براءة الاختراع ذات الاستشهادات الأكثر تقدمًا في غضون شهر من تاريخ إيداعها، وحدد براءة الاختراع الأكثر تشابهًا من نفس سنة الإيداع، بغض النظر عن نوعها.,"For United States utility patents under the B2 classification granted between 2010 and 2014, find the one with the most forward citations within a month of its filing date, and identify the most similar patent from the same filing year, regardless of its type."
"حدد أفضل خمس براءات اختراع تم تقديمها في نفس العام باسم ""US -9741766 - B2"" الأكثر تشابهًا معها بناءً على أوجه التشابه التكنولوجية. يرجى تقديم أرقام النشر.",Identify the top five patents filed in the same year as `US-9741766-B2` that are most similar to it based on technological similarities. Please provide the publication numbers.
بالنسبة لأفضل 6 عائلات صالحة، هل لديها معظم المنشورات ؟ قم بتقديم معرف العائلة وملخصات المنشورات غير الفارغة.,For the top 6 valid family has the most publications? provide their family id and non-empty publication abstracts.
بالنسبة لكل عائلة منشورات تم نشرها لأول مرة في يناير 2015، يرجى تقديم تاريخ النشر المبكر، وأرقام النشر المتميزة، ورموز بلدانهم، ورموز التصنيف المركزي للمنتجات والتصنيف الدولي للبراءات المتميزة، والعائلات المتميزة (أي المعرفات) التي تستشهد بها عائلة المنشورات هذه. يرجى تقديم جميع القوائم كقيم مفصولة بفواصل، مرتبة حسب الحرف الأول من الرمز للتوضيح.,"For each publication family whose earliest publication was first published in January 2015, please provide the earliest publication date, the distinct publication numbers, their country codes, the distinct CPC and IPC codes, distinct families (namely, the ids) that cite and are cited by this publication family. Please present all lists as comma-separated values, sorted by the first letter of the code for clarity."
ما هو رقم نشر براءة الاختراع الأمريكية بموجب تصنيف B2 الممنوح خلال الفترة من 2015 إلى 2018، مع أعلى درجة أصالة بناءً على تنوع رموز IPC المكونة من 4 أرقام من الاقتباسات المتخلفة ؟,"What is the publication number of US patent under the B2 classification granted during 2015 to 2018, with the highest originality score based on the diversity of 4-digits IPC codes from its backward citations?"
ابحث عن مجالات تكنولوجيا التصنيف المركزي للمنتجات في ألمانيا التي لديها أعلى متوسط متحرك أسي لإيداعات براءات الاختراع كل عام (عامل التمهيد 0.1) لبراءات الاختراع الممنوحة في ديسمبر 2016. أرني العنوان الكامل ومجموعة تكلفة النقرة وأفضل سنة لكل مجموعة تكلفة نقرة في المستوى 4.,"Find the CPC technology areas in Germany with the highest exponential moving average of patent filings each year (smoothing factor 0.1) for patents granted in December 2016. Show me the full title, CPC group and the best year for each CPC group at level 4."
تحديد مجالات تكنولوجيا التصنيف المركزي للمنتجات التي لديها أعلى متوسط متحرك أسي لإيداعات براءات الاختراع كل عام (عامل التمهيد 0.2)، وتقديم العنوان الكامل وأفضل سنة لكل مجموعة من مجموعات التصنيف المركزي للمنتجات في المستوى 5.,"Identify the CPC technology areas with the highest exponential moving average of patent filings each year (smoothing factor 0.2), and provide the full title and the best year for each CPC group at level 5."
من هم المكلفون، باستثناء شركة دينسو نفسها، الذين استشهدوا ببراءات الاختراع المخصصة لشركة دينسو، وما هي عناوين الفئات الفرعية الأساسية للتصنيف المركزي للمنتجات المرتبطة بهذه الاستشهادات ؟ قدم اسم كل مكلف بالاقتباس، والعنوان الكامل للفئة الفرعية للتصنيف المركزي للمنتجات، وعدد الاقتباسات المجمعة حسب المكلف وعنوان الفئة الفرعية للتصنيف المركزي للمنتجات. يرجى التركيز بشكل خاص على الفئات الرئيسية لرموز تكلفة النقرة،,"Which assignees, excluding DENSO CORP itself, have cited patents assigned to DENSO CORP, and what are the titles of the primary CPC subclasses associated with these citations? Provide the name of each citing assignee, the full title of the CPC subclass, and the count of citations grouped by the assignee and the CPC subclass title. Please focus specifically on the main categories of the CPC codes,"
هل يمكنك تحديد أفضل 5 براءات اختراع تم رفضها في البداية بموجب القسم 101 مع عدم وجود مطالبات مسموح بها، بناءً على طول مطالباتهم الممنوحة ؟ كان يجب منح براءات الاختراع في الولايات المتحدة بين عامي 2010 و 2023. بالإضافة إلى ذلك، تأكد من تحديد تاريخ الإجراء المكتبي الأول لكل طلب. يرجى ذكر أرقام نشرهم الأولى، إلى جانب تواريخ نشرهم الأولى، وطول المطالبات المقدمة وتواريخ المنح.,"Can you identify the top 5 patents that were initially rejected under section 101 with no allowed claims, based on the length of their granted claims? The patents should have been granted in the US between 2010 and 2023. Additionally, ensure to select the first office action date for each application. Please include their first publication numbers, along with their first publication dates, length of the filed claims and grant dates."
هل يمكنك تقديم أرقام النشر الأولية لأفضل 100 مطالبة براءة اختراع مستقلة ذات أعلى عدد كلمات ؟,Can you provide the initial publication numbers for our top 100 independent patent claims with the highest word count?
"أخبرني بعنوان براءة الاختراع والملخص، بالإضافة إلى تاريخ النشر، والاقتباس الخلفي وعدد الاقتباسات المستقبلية في غضون 5 سنوات لتلك المنشورة في يناير 2014. يتم توفير المتطلبات التفصيلية في ""forward_backward_citation.md"".","Tell me the patent title and abstract, as well as the publication date, the backward citation and forward citation count within 5 years for those published in January 2014. The detailed requirements are provided in `forward_backward_citation.md`."
هل يمكنك معرفة عدد الاقتباسات المستقبلية في غضون عام واحد من تاريخ تقديم طلب الحصول على براءة الاختراع التي تحتوي على أكبر عدد من الاقتباسات المتأخرة في غضون عام واحد من تقديم الطلب بين جميع براءات الاختراع الأمريكية ؟,Can you figure out the number of forward citations within 1 years from the application date for the patent that has the most backward citations within 1 years from application among all U.S. patents?
"أتساءل عن براءات الاختراع ضمن القسم الفرعي من التصنيف المركزي للمنتجات ""C05"" أو المجموعة ""A01G"" في الولايات المتحدة الأمريكية التي لديها استشهادات أمامية أو خلفية واحدة على الأقل في غضون شهر واحد من تواريخ تطبيقها. أعطني المعرفات والعناوين وتاريخ تقديم الطلب وعدد الاقتباسات للأمام/للخلف والنصوص الموجزة.","I wonder which patents within CPC subsection 'C05' or group 'A01G' in the USA have at least one forward or backward citations within one month of their application dates. Give me the ids, titles, application date, forward/backward citation counts and summary texts."
ما هو متوسط عدد ارتباطات GitHub التي تم إجراؤها شهريًا في عام 2016 للمستودعات التي تحتوي على رمز بايثون ؟,What was the average number of GitHub commits made per month in 2016 for repositories containing Python code?
تعرف على الحزمة الأكثر استخدامًا في جميع ملفات مصدر Go.,Find out the most frequently used package in all Go source files.
حدد أفضل 10 حزم مستوردة بشكل متكرر وعددها في ملفات مصدر جافا.,Identify the top 10 most frequently imported packages and their counts in Java source files.
ما هي لغات البرمجة الأساسية، التي يحددها أكبر عدد من وحدات البايت في كل مستودع، والتي يبلغ مجموعها أكثر من 100 طلب سحب في 18 يناير 2023 في جميع مستودعاتها ؟,"Which primary programming languages, determined by the highest number of bytes in each repository, have the sum of over 100 pull requests on January 18, 2023 in all its repositories?"
كم عدد طلبات السحب التي تم إنشاؤها في المستودعات التي تتضمن جافا سكريبت كواحدة من لغاتهم، مع الأخذ في الاعتبار البيانات من 18 يناير 2023 ؟,"How many pull requests in total were created in repositories that include JavaScript as one of their languages, considering data from January 18, 2023?"
"اعثر على أفضل مستودعين من عام 2017، اللذان لديهما أكثر من 30 مستخدمًا فريدًا يشاهدونهما، ويحتويان أيضًا على النص ""حقوق الطبع والنشر (ج )"".","Find the top 2 repositories from 2017, which have more than 30 unique users watching them, that also contain the text 'Copyright (c)'."
"ما هو المستودع الذي يحمل ترخيصًا معتمدًا في ""licenses.md"" الذي كان لديه أعلى إجمالي مشترك من الشوكات والمشكلات والساعات في أبريل 2022 ؟","Which repository with an approved license in `licenses.md` had the highest combined total of forks, issues, and watches in April 2022?"
"أي مستودع لديه ترخيص إما ""artistic-2.0"" أو ""isc"" أو ""mit"" أو ""apache-2.0""، يحتوي على ملفات Python في الفرع الرئيسي، ولديه أعلى عدد مجمع من الشوكات والمشكلات ومشاهدة الأحداث في أبريل 2022 ؟","Which repository that has a license of either ""artistic-2.0"", ""isc"", ""mit"", or ""apache-2.0"", contains Python files in the master branch, and has the highest combined count of forks, issues, and watch events in April 2022?"
ما هي أفضل 10 لغات مستخدمة على نطاق واسع وفقًا لعدد الملفات ؟,What's the top 10 widely used languages according to file counts?
يرجى مساعدتي في استرداد أفضل 5 أسماء للوحدات الأكثر استخدامًا من نصوص Python و R.,Please help me retrieve the top 5 most frequently used module names from Python and R scripts.
هل يمكنك العثور على وحدات Python المستوردة ومكتبات R من ملفات عينة GitHub وإدراجها مع عدد مرات حدوثها ؟ يرجى فرز النتائج حسب اللغة ثم حسب عدد مرات التكرار بترتيب تنازلي.,Can you find the imported Python modules and R libraries from the GitHub sample files and list them along with their occurrence counts? Please sort the results by language and then by the number of occurrences in descending order.
"ما هي نسبة الملفات التي تتضمن مساراتها ""readme.md"" التي تحتوي على عبارة ""حقوق الطبع والنشر (c )""، من بين جميع المستودعات التي لا تستخدم أي لغة برمجة تحمل كلمة"" python ""في اسمها","What is the proportion of files whose paths include 'readme.md' that contain the phrase 'Copyright (c)', among all repositories that do not use any programming language with 'python' in its name"
"ساعدني في استرداد أفضل 5 أسطر نصية غير فارغة وغير مشفرة تحدث بشكل متكرر في ملفات ""readme.md"" من مستودعات GitHub التي تستخدم Python في المقام الأول للتطوير.","Help me retrieve the top 5 most frequently occurring non-empty, non-commented lines of text in `readme.md` files from GitHub repositories that primarily use Python for development."
"من بين المستودعات من أرشيف GitHub التي تتضمن ملف Python بحجم أقل من 15000 بايت وكلمة رئيسية ""def"" في المحتوى، هل تجد أفضل 3 مستودعات لديها أكبر عدد من أحداث المشاهدة في عام 2017 ؟","Among the repositories from the GitHub Archive which include a Python file with less than 15,000 bytes in size and a keyword 'def' in the content, find the top 3 that have the highest number of watch events in 2017?"
"يرجى تقديم تقرير عن ملفات الأرقام من مستودع GitHub، مصنفة حسب وجود أنواع سطر محددة. صنف الملف على أنه ""متأخر"" إذا انتهى أي سطر بحرف فارغ، وعلى أنه ""مسافة"" إذا بدأ أي سطر بمسافة، وعلى أنه ""آخر"" إذا لم يستوف أي شرط.","Please provide a report on the number files from the GitHub repository, categorized by the presence of specific line types. Categorize a file as 'trailing' if any line ends with a blank character, as 'Space' if any line starts with a space, and as 'Other' if it meets neither condition."
حدد نوع الملف بين Python (.py) و C (.c) و Jupyter Notebook (.ipynb) و Java (.java) و JavaScript (.js) في قاعدة تعليمات GitHub البرمجية التي تحتوي على معظم الملفات بعمق دليل أكبر من 10، وقدم عدد الملفات.,"Determine which file type among Python (.py), C (.c), Jupyter Notebook (.ipynb), Java (.java), and JavaScript (.js) in the GitHub codebase has the most files with a directory depth greater than 10, and provide the file count."
"كم عدد رسائل الالتزام الموجودة في المستودعات التي تستخدم لغة البرمجة ""Shell"" ورخصة ""apache-2.0""، حيث يكون طول رسالة الالتزام أكثر من 5 أحرف ولكن أقل من 10000 حرف، ولا تبدأ الرسائل بكلمة ""دمج"" أو ""تحديث"" أو ""اختبار ""؟","How many commit messages are there in repositories that use the 'Shell' programming language and 'apache-2.0' license, where the length of the commit message is more than 5 characters but less than 10,000 characters, and the messages do not start with the word 'merge', 'update' or 'test'?"
ما هي الوحدة الثانية الأكثر استخدامًا (المكتبة المستوردة) عبر ملفات البرامج النصية Python و R و IPython (.ipynb) في مجموعة بيانات نموذج GitHub ؟,"What is the second most frequently used module (imported library) across Python, R, and IPython script (.ipynb) files in the GitHub sample dataset?"
استخراج وحساب تكرار جميع أسماء الحزم المدرجة في القسم المطلوب من المحتوى بتنسيق JSON,Extract and count the frequency of all package names listed in the require section of JSON-formatted content
ضع قائمة بأسماء المستودعات وأعداد الالتزام لأفضل مستودعين في GitHub مع JavaScript كلغة أساسية وأكبر عدد من الالتزامات.,List the repository names and commit counts for the top two GitHub repositories with JavaScript as the primary language and the highest number of commits.
هل يمكنك العثور على اسم المستودع الذي يحتوي على ملف Swift غير الثنائي الأكثر نسخًا في مجموعة البيانات، مما يضمن تحديد كل ملف بشكل فريد من خلال معرفه ؟,"Could you please find the name of the repository that contains the most copied non-binary Swift file in the dataset, ensuring each file is uniquely identified by its ID?"
هل يمكنك العثور على عنوان URL GitHub لحزمة Python التي تحتوي على أكبر عدد من التنزيلات على PyPi وتم تحديثها مؤخرًا ؟ يرجى التأكد من توفير عنوان URL للمستودع الرئيسي فقط، باستثناء أقسام فرعية محددة مثل المشكلات أو النقاط أو طلبات السحب أو طرق عرض الأشجار.,"Could you find the GitHub URL of the Python package that has the highest number of downloads on PyPi and was updated most recently? Please ensure that only the main repository URL is provided, excluding specific subsections like issues, blobs, pull requests, or tree views."
بالنسبة للتشخيص الأكثر شيوعًا للمرضى الداخليين في الولايات المتحدة في عام 2014، ما هو متوسط الدفع حسب المدينة على التوالي في المدن الثلاث التي لديها أكبر عدد من الحالات من قاعدة بيانات CMS_MEDICARE ؟,"For the most common inpatient diagnosis in the US in 2014, what was the citywise average payment respectively in the three cities that had the most cases from the cms_medicare database?"
ما هو أكثر دواء موصوف في كل ولاية في عام 2014 ؟,What is the most prescribed medication in each state in 2014?
هل يمكن أن تخبرني عن مقدم الرعاية الصحية الذي يتكبد أعلى متوسط تكاليف مجتمعة لكل من خدمات العيادات الخارجية والعيادات الداخلية في عام 2014 ؟,Can you tell me which healthcare provider incurs the highest combined average costs for both outpatient and inpatient services in 2014?
بالنسبة للدواء الذي يحتوي على أكبر عدد إجمالي من الوصفات الطبية في ولاية نيويورك خلال عام 2014، هل يمكنك إدراج الولايات الخمس الأولى التي لديها أعلى إجمالي عدد مطالبات لهذا الدواء ؟ يرجى أيضًا تضمين إجمالي عدد مطالباتهم وإجمالي تكاليف الأدوية.,"For the drug with the highest total number of prescriptions in New York State during 2014, could you list the top five states with the highest total claim counts for this drug? Please also include their total claim counts and total drug costs. "
بالنسبة لمقدم الخدمة الذي لديه أعلى إجمالي تكلفة خدمة للمرضى الداخليين من 2011-2015، أخبرني عن متوسط إيراداته السنوية للمرضى الداخليين والخارجيين حسب الحالة لكل سنة خلال تلك الفترة.,"For the provider with the highest total inpatient service cost from 2011-2015, tell me its annual inpatient and outpatient revenues averaged by case for each year during that period."
هل يمكنك تقديم النسبة المئوية للمشاركين لحب الشباب القياسي والتهاب الجلد التأتبي والصدفية والبهاق المحدد في التصنيف الدولي للأمراض 10 سم(ICD -10 - CM)، بما في ذلك فئاتهم الفرعية ؟ رموز التصنيف الدولي للأمراض - 10 هي: حب الشباب (L70)، والتهاب الجلد التأتبي (L20)، والصدفية (L40)، والبهاق (L80).,"Could you provide the percentage of participants for standard acne, atopic dermatitis, psoriasis, and vitiligo defined by the International Classification of Diseases 10-CM(ICD-10-CM), including their subcategories? The ICD-10 codes are: Acne (L70), Atopic dermatitis (L20), Psoriasis (L40), and Vitiligo (L80). "
من فضلك قل لي النسبة المئوية للمشاركين الذين لا يستخدمون الكينابريل والأدوية ذات الصلة (Quinapril RxCUI: 35208).,Please tell me the percentage of participants not using quinapril and related medications(Quinapril RxCUI: 35208).
هل يمكنك تقديم خط عرض الإحداثيات النهائية للإعصار الذي قطع ثاني أطول مسافة في شمال المحيط الأطلسي خلال عام 2020 ؟,Can you provide the latitude of the final coordinates for the hurricane that traveled the second longest distance in the North Atlantic during 2020?
يرجى إظهار معلومات عن الإعصار الذي لديه ثالث أطول مسافة سفر إجمالية في شمال المحيط الأطلسي خلال عام 2020، بما في ذلك إحداثيات السفر الخاصة به، ومسافة السفر التراكمية في كل نقطة، والحد الأقصى لسرعة الرياح المستدامة في تلك الأوقات.,"Please show information of the hurricane with the third longest total travel distance in the North Atlantic during 2020, including its travel coordinates, the cumulative travel distance at each point, and the maximum sustained wind speed at those times."
ما هو العدد الإجمالي لأحداث العواصف الشديدة التي وقعت في الشهر الأكثر تضررًا على مدار الخمسة عشر عامًا الماضية وفقًا لسجلات الإدارة الوطنية للمحيطات والغلاف الجوي (NOAA)، مع الأخذ في الاعتبار فقط أفضل 100 حدث عاصفة مع أعلى ضرر في الممتلكات ؟,"What is the total number of severe storm events that occurred in the most affected month over the past 15 years according to NOAA records, considering only the top 100 storm events with the highest property damage?"
ما هي الولايات الخمس التي شهدت أكبر عدد من أحداث العواصف من عام 1980 إلى عام 1995، مع الأخذ في الاعتبار فقط الولايات الألف الأولى التي لديها أعلى عدد من الأحداث كل عام ؟ يرجى استخدام اختصارات الحالة.,"Which 5 states had the most storm events from 1980 to 1995, considering only the top 1000 states with the highest event counts each year? Please use state abbreviations."
ما هي الرموز البريدية للمناطق في الولايات المتحدة إلى جانب عدد المرات التي تأثرت فيها بالأعاصير المسماة، مرتبة حسب عدد الحوادث ؟,"What are the zip codes of the areas in the United States along with the number of times they have been affected by the named hurricanes, ordered by the number of occurences?"
ما هي أهم 5 رموز بريدية للمناطق في الولايات المتحدة التي شهدت أكثر أحداث العواصف البردية في السنوات العشر الماضية ؟,What are the top 5 zip codes of the areas in the United States that have experienced the most hail storm events in the past 10 years?
"ما هو عدد محطات الأرصاد الجوية التي وصلت فيها أيام تسجيل درجة الحرارة الصالحة في عام 2019 إلى 90 ٪ أو أكثر من الحد الأقصى لعدد الأيام المسجلة، وكان لها تتبع يعود إلى 1/1/2000 أو قبل ومن خلال 6/30/2019 على الأقل وفقًا للحقل ""BEGIN"" و ""END ""؟","What is the number of weather stations where the valid temperature record days in 2019 reached 90% or more of the maximum number of recorded days, and have had tracking back to 1/1/2000 or before and through at least 6/30/2019 according to the field 'begin' and 'end'?"
ساعدني في تحليل الأحوال الجوية (بما في ذلك درجة الحرارة وسرعة الرياح وهطول الأمطار) في مطار لاغوارديا في مدينة نيويورك ليوم 12 يونيو، من عام إلى آخر، بدءًا من عام 2011 إلى عام 2020.,"Help me analyze the weather conditions (including temperature, wind speed and precipitation) at NYC's airport LaGuardia for June 12, year over year, starting from 2011 to 2020."
ما هي الأشهر الثلاثة الأولى بين عامي 2010 و 2014 مع أصغر مجموع للاختلافات المطلقة بين متوسط درجة حرارة الهواء ودرجة حرارة المصباح الرطب ودرجة حرارة نقطة الندى ودرجة حرارة سطح البحر، بما في ذلك السنوات المعنية ومجموع الاختلافات ؟ يرجى تقديم السنة والشهر بتنسيق رقمي.,"What are the top 3 months between 2010 and 2014 with the smallest sum of absolute differences between the average air temperature, wet bulb temperature, dew point temperature, and sea surface temperature, including respective years and sum of differences? Please present the year and month in numerical format."
"ما هي إحداثيات خطوط الطول والعرض والتواريخ بين عامي 2005 و 2015 مع أعلى 5 أعلى متوسط يومي لسرعة الرياح، باستثناء السجلات ذات قيم سرعة الرياح المفقودة ؟ يبدأ استخدام البيانات من الجداول بالبادئة ""icoads_core"".","What are the latitude and longitude coordinates and dates between 2005 and 2015 with the top 5 highest daily average wind speeds, excluding records with missing wind speed values? Using data from tables start with prefix ""icoads_core""."
ما هي النسبة المئوية لمحطات الأرصاد الجوية التي سجلت بيانات درجة الحرارة لما لا يقل عن 90 ٪ من الأيام في عام 2022 ؟,How much percentage of weather stations recorded temperature data for at least 90% of the days in 2022?
"ما هي محطات الطقس في ولاية واشنطن التي شهدت أكثر من 150 يومًا ممطرًا في عام 2023 ولكن أيامًا ممطرة أقل مما كانت عليه في عام 2022 ؟ حدد ""يوم ممطر"" على أنه أي يوم يكون فيه هطول الأمطار المسجل أكثر من 0 ملليمتر.",Which weather stations in Washington State had more than 150 rainy days in 2023 but fewer rainy days than in 2022? Define a 'rainy day' as any day where the precipitation recorded is more than 0 millimeters.
"هل يمكن أن تخبرني أي رحلة بالدراجة في مدينة نيويورك في 15 يوليو 2015، بدأت وانتهت في مناطق الرمز البريدي ذات أعلى متوسط درجة حرارة لذلك اليوم، كما هو مسجل من قبل محطة الطقس في سنترال بارك ""94728 ""؟ إذا كان هناك أكثر من رحلة تستوفي هذه المعايير، أود أن أعرف عن الرحلة التي تبدأ بأصغر رمز بريدي وتنتهي بأكبر رمز بريدي.","Can you tell me which bike trip in New York City on July 15, 2015, started and ended in ZIP Code areas with the highest average temperature for that day, as recorded by the Central Park weather station '94728'? If there's more than one trip that meets these criteria, I'd like to know about the one that starts in the smallest ZIP Code and ends in the largest ZIP Code."
